YEAR,STATENAME,tax_property_hh,tax_property_business,tax_consumption_hh,tax_consumption_business,tax_income_total,tax_property_total,tax_consumption_total,state_population,tax_property_hh_pc,tax_property_business_pc,tax_consumption_hh_pc,tax_consumption_business_pc,tax_income_total_pc,tax_property_total_pc,tax_consumption_total_pc
2010,Illinois,10744587000,12900000000,4927819000,9000000000,9433245000,23644587000,13927819000,12843166,837,1004,384,701,734,1841,1084
2010,Indiana,2241801000,5400000000,4874733000,2600000000,5458567000,7641801000,7474733000,6490621,345,832,751,401,841,1177,1152
2010,Iowa,1427412000,2800000000,2190016000,1400000000,2746549000,4227412000,3590016000,3049883,468,918,718,459,901,1386,1177
2010,Kansas,1219132000,2700000000,1834642000,1900000000,2690505000,3919132000,3734642000,2859169,426,944,642,665,941,1371,1306
2010,Kentucky,994092000,2000000000,1629777000,2600000000,4206796000,2994092000,4229777000,4346266,229,460,375,598,968,689,973
2010,Louisiana,933367000,2500000000,1862873000,5300000000,2286500000,3433367000,7162873000,4544228,205,550,410,1166,503,756,1576
2010,Maine,658744000,1700000000,732464000,700000000,1303370000,2358744000,1432464000,1327567,496,1281,552,527,982,1777,1079
2010,Maryland,6198332000,2300000000,2256311000,3200000000,9924025000,8498332000,5456311000,5785982,1071,398,390,553,1715,1469,943
2010,Massachusetts,6573816000,6300000000,3255552000,2700000000,10128035000,12873816000,5955552000,6557254,1003,961,496,412,1545,1963,908
2010,Michigan,6659639000,7600000000,7016526000,4200000000,5913526000,14259639000,11216526000,9877574,674,769,710,425,599,1444,1136
2010,Minnesota,3928783000,3800000000,2370572000,3600000000,6458111000,7728783000,5970572000,5310584,740,716,446,678,1216,1455,1124
2010,Mississippi,398110000,2100000000,1903646000,1600000000,1352481000,2498110000,3503646000,2970036,134,707,641,539,455,841,1180
2010,Missouri,2154640000,3500000000,2936129000,3300000000,4613765000,5654640000,6236129000,5996231,359,584,490,550,769,943,1040
2010,Montana,585942000,800000000,174966000,200000000,714814000,1385942000,374966000,990898,591,807,177,202,721,1399,378
2010,Nebraska,1165918000,1700000000,939439000,1300000000,1514831000,2865918000,2239439000,1830429,637,929,513,710,828,1566,1223
2010,Nevada,1418024000,2100000000,1542786000,2100000000,0,3518024000,3642786000,2704642,524,776,570,776,0,1301,1347
2010,New Hampshire,2077077000,1200000000,183859000,300000000,82365000,3277077000,483859000,1316759,1577,911,140,228,63,2489,367
2010,New Jersey,15037457000,9700000000,5397733000,4900000000,10322943000,24737457000,10297733000,8801624,1708,1102,613,557,1173,2811,1170
2010,New Mexico,539106000,800000000,1176902000,1800000000,956600000,1339106000,2976902000,2065932,261,387,570,871,463,648,1441
2010,New York,21468442000,23200000000,9717101000,17900000000,42493349000,44668442000,27617101000,19392283,1107,1196,501,923,2191,2303,1424
2010,North Carolina,4908725000,3900000000,5723771000,4800000000,9133689000,8808725000,10523771000,9561558,513,408,599,502,955,921,1101
2010,North Dakota,162308000,600000000,440817000,500000000,303764000,762308000,940817000,674499,241,890,654,741,450,1130,1395
2010,Ohio,5990588000,7100000000,6246786000,6600000000,12209824000,13090588000,12846786000,11536182,519,615,541,572,1058,1135,1114
2010,Oklahoma,774768000,1600000000,2415012000,2300000000,2224783000,2374768000,4715012000,3761702,206,425,642,611,591,631,1253
2010,Oregon,2809251000,2300000000,279794000,700000000,4946443000,5109251000,979794000,3838957,732,599,73,182,1288,1331,255
2010,Pennsylvania,7117112000,9000000000,6796418000,6600000000,13405313000,16117112000,13396418000,12709630,560,708,535,519,1055,1268,1054
2010,Rhode Island,1104091000,1100000000,467029000,700000000,909674000,2204091000,1167029000,1052886,1049,1045,444,665,864,2093,1108
2010,South Carolina,1327979000,3500000000,2270517000,1600000000,2673000000,4827979000,3870517000,4636312,286,755,490,345,577,1041,835
2010,South Dakota,323600000,600000000,553131000,700000000,0,923600000,1253131000,816463,396,735,677,857,0,1131,1535
2010,Tennessee,2079525000,3000000000,5641519000,3900000000,172459000,5079525000,9541519000,6356897,327,472,887,614,27,799,1501
2010,Texas,14422037000,25300000000,13049417000,19500000000,0,39722037000,32549417000,25257114,571,1002,517,772,0,1573,1289
2010,Utah,858282000,1600000000,1640300000,1200000000,2104641000,2458282000,2840300000,2776469,309,576,591,432,758,885,1023
2010,Vermont,453200000,900000000,224788000,300000000,489107000,1353200000,524788000,625960,724,1438,359,479,781,2162,838
2010,Virginia,5085926000,6300000000,2791297000,3800000000,8659470000,11385926000,6591297000,8024617,634,785,348,474,1079,1419,821
2010,Washington,4546799000,4100000000,5660800000,9200000000,0,8646799000,14860800000,6744496,674,608,839,1364,0,1282,2203
